## 10 Epochs, 0.001 Learning Rate
Epoch 1/10, Loss: 1.4995
Epoch 2/10, Loss: 1.0418
Epoch 3/10, Loss: 0.7139
Epoch 4/10, Loss: 0.4483
Epoch 5/10, Loss: 0.2656
Epoch 6/10, Loss: 0.1748
Epoch 7/10, Loss: 0.1256
Epoch 8/10, Loss: 0.0827
Epoch 9/10, Loss: 0.0721
Epoch 10/10, Loss: 0.0591
Test Accuracy: 50.00%
Model saved to alexnet_custom_classes.pth

## 100 Epochs, 0.001 Learning Rate
Epoch 1/100, Loss: 1.4611
Epoch 2/100, Loss: 1.0446
Epoch 3/100, Loss: 0.6298
Epoch 4/100, Loss: 0.4318
Epoch 5/100, Loss: 0.2750
Epoch 6/100, Loss: 0.1527
Epoch 7/100, Loss: 0.0980
Epoch 8/100, Loss: 0.0635
Epoch 9/100, Loss: 0.0462
Epoch 10/100, Loss: 0.0547
Epoch 11/100, Loss: 0.0434
Epoch 12/100, Loss: 0.0469
Epoch 13/100, Loss: 0.0420
Epoch 14/100, Loss: 0.0468
Epoch 15/100, Loss: 0.0431
Epoch 16/100, Loss: 0.0377
Epoch 17/100, Loss: 0.0397
Epoch 18/100, Loss: 0.0365
Epoch 19/100, Loss: 0.0371
Epoch 20/100, Loss: 0.0391
Epoch 21/100, Loss: 0.0426
Epoch 22/100, Loss: 0.0281
Epoch 23/100, Loss: 0.0379
Epoch 24/100, Loss: 0.0514
Epoch 25/100, Loss: 0.0577
Epoch 26/100, Loss: 0.0395
Epoch 27/100, Loss: 0.0320
Epoch 28/100, Loss: 0.0366
Epoch 29/100, Loss: 0.0331
Epoch 30/100, Loss: 0.0468
Epoch 31/100, Loss: 0.0316
Epoch 32/100, Loss: 0.0512
Epoch 33/100, Loss: 0.0373
Epoch 34/100, Loss: 0.0375
Epoch 35/100, Loss: 0.0367
Epoch 36/100, Loss: 0.0442
Epoch 37/100, Loss: 0.0400
Epoch 38/100, Loss: 0.0543
Epoch 39/100, Loss: 0.0444
Epoch 40/100, Loss: 0.0380
Epoch 41/100, Loss: 0.0439
Epoch 42/100, Loss: 0.0401
Epoch 43/100, Loss: 0.0454
Epoch 44/100, Loss: 0.0387
Epoch 45/100, Loss: 0.0467
Epoch 46/100, Loss: 0.0557
Epoch 47/100, Loss: 0.0709
Epoch 48/100, Loss: 0.0325
Epoch 49/100, Loss: 0.0440
Epoch 50/100, Loss: 0.0492
Epoch 51/100, Loss: 0.0311
Epoch 52/100, Loss: 0.0352
Epoch 53/100, Loss: 0.0431
Epoch 54/100, Loss: 0.0413
Epoch 55/100, Loss: 0.0407
Epoch 56/100, Loss: 0.0319
Epoch 57/100, Loss: 0.0347
Epoch 58/100, Loss: 0.0370
Epoch 59/100, Loss: 0.0434
Epoch 60/100, Loss: 0.0401
Epoch 61/100, Loss: 0.0485
Epoch 62/100, Loss: 0.0434
Epoch 63/100, Loss: 0.0402
Epoch 64/100, Loss: 0.0342
Epoch 65/100, Loss: 0.0477
Epoch 66/100, Loss: 0.0417
Epoch 67/100, Loss: 0.0475
Epoch 68/100, Loss: 0.0434
Epoch 69/100, Loss: 0.0392
Epoch 70/100, Loss: 0.0632
Epoch 71/100, Loss: 0.0354
Epoch 72/100, Loss: 0.0542
Epoch 73/100, Loss: 0.0356
Epoch 74/100, Loss: 0.0480
Epoch 75/100, Loss: 0.0411
Epoch 76/100, Loss: 0.0451
Epoch 77/100, Loss: 0.0402
Epoch 78/100, Loss: 0.0418
Epoch 79/100, Loss: 0.0349
Epoch 80/100, Loss: 0.0388
Epoch 81/100, Loss: 0.0372
Epoch 82/100, Loss: 0.0362
Epoch 83/100, Loss: 0.0353
Epoch 84/100, Loss: 0.0420
Epoch 85/100, Loss: 0.0527
Epoch 86/100, Loss: 0.0482
Epoch 87/100, Loss: 0.0484
Epoch 88/100, Loss: 0.0413
Epoch 89/100, Loss: 0.0348
Epoch 90/100, Loss: 0.0369
Epoch 91/100, Loss: 0.0414
Epoch 92/100, Loss: 0.0363
Epoch 93/100, Loss: 0.0457
Epoch 94/100, Loss: 0.0370
Epoch 95/100, Loss: 0.0358
Epoch 96/100, Loss: 0.0346
Epoch 97/100, Loss: 0.0310
Epoch 98/100, Loss: 0.0381
Epoch 99/100, Loss: 0.0468
Epoch 100/100, Loss: 0.0450
Test Accuracy: 60.71%
Model saved to alexnet_custom_classes.pth

## 1000 Epochs, 0.001 Learning Rate

